text,gold_label,pred_intent,correct,gold_order_status,pred_order_status,order_status_correct,gold_cancel_scope,pred_cancel_scope,cancel_scope_correct,confidence,latency_ms,error,bond_code,direction,price,amount,settle_date,source,raw_output,retries,prompt_tokens,completion_tokens,total_tokens
今天行情如何,chat,chat,1,,,,,,,0.95,2286,,,,,,,excel,"{""intent"":""chat"",""slots"":{""bond_code"":null,""direction"":null,""price"":null,""amount"":null,""settle_date"":null,""order_status"":null,""cancel_scope"":null},""confidence"":0.95}",0,2928,95,3023
你们内部系统叫什么,chat,chat,1,,,,,,,0.97,1669,,,,,,,excel,"{""intent"":""chat"",""slots"":{""bond_code"":null,""direction"":null,""price"":null,""amount"":null,""settle_date"":null,""order_status"":null,""cancel_scope"":null},""confidence"":0.97}",0,2929,91,3020
那你给我一份市场报告,chat,chat,1,,,,,,,0.88,2014,,,,,,,excel,"{""intent"":""chat"",""slots"":{""bond_code"":null,""direction"":null,""price"":null,""amount"":null,""settle_date"":null,""order_status"":null,""cancel_scope"":null},""confidence"":0.88}",0,2930,116,3046
底层架构是java还是c+,chat,chat,1,,,,,,,0.95,3183,,,,,,,excel,"{""intent"":""chat"",""slots"":{""bond_code"":null,""direction"":null,""price"":null,""amount"":null,""settle_date"":null,""order_status"":null,""cancel_scope"":null},""confidence"":0.95}",0,2932,210,3142
25国债,chat,chat,1,,,,,,,0.91,3543,,,,,,,excel,"{""intent"":""chat"",""slots"":{""bond_code"":null,""direction"":null,""price"":null,""amount"":null,""settle_date"":null,""order_status"":null,""cancel_scope"":null},""confidence"":0.91}",0,2927,152,3079
我问的是债券 210210 行情,chat,chat,1,,,,,,,0.92,2118,,,,,,,excel,"{""intent"":""chat"",""slots"":{""bond_code"":null,""direction"":null,""price"":null,""amount"":null,""settle_date"":null,""order_status"":null,""cancel_scope"":null},""confidence"":0.92}",0,2933,107,3040
19793,chat,chat,1,,,,,,,0.85,12922,,,,,,,excel,"{""intent"":""chat"",""slots"":{""bond_code"":null,""direction"":null,""price"":null,""amount"":null,""settle_date"":null,""order_status"":null,""cancel_scope"":null},""confidence"":0.85}",0,2927,933,3860
我们成交后，去外汇中心结算吗,chat,chat,1,,,,,,,0.95,1782,,,,,,,excel,"{""intent"":""chat"",""slots"":{""bond_code"":null,""direction"":null,""price"":null,""amount"":null,""settle_date"":null,""order_status"":null,""cancel_scope"":null},""confidence"":0.95}",0,2934,76,3010
价格没有,chat,chat,1,,,,,,,0.98,1617,,,,,,,excel,"{""intent"":""chat"",""slots"":{""bond_code"":null,""direction"":null,""price"":null,""amount"":null,""settle_date"":null,""order_status"":null,""cancel_scope"":null},""confidence"":0.98}",0,2927,106,3033
bid是什么意思,chat,chat,1,,,,,,,0.98,2622,,,,,,,excel,"{""intent"":""chat"",""slots"":{""bond_code"":null,""direction"":null,""price"":null,""amount"":null,""settle_date"":null,""order_status"":null,""cancel_scope"":null},""confidence"":0.98}",0,2927,105,3032
价格合适就行,chat,chat,1,,,,,,,0.88,2967,,,,,,,excel,"{""intent"":""chat"",""slots"":{""bond_code"":null,""direction"":null,""price"":null,""amount"":null,""settle_date"":null,""order_status"":null,""cancel_scope"":null},""confidence"":0.88}",0,2928,167,3095
清算时间是什么格式,chat,chat,1,,,,,,,0.95,2019,,,,,,,excel,"{""intent"":""chat"",""slots"":{""bond_code"":null,""direction"":null,""price"":null,""amount"":null,""settle_date"":null,""order_status"":null,""cancel_scope"":null},""confidence"":0.95}",0,2929,91,3020
市价,chat,chat,1,,,,,,,0.95,3327,,,,,,,excel,"{""intent"":""chat"",""slots"":{""bond_code"":null,""direction"":null,""price"":null,""amount"":null,""settle_date"":null,""order_status"":null,""cancel_scope"":null},""confidence"":0.95}",0,2927,275,3202
我用净价还是收益率,chat,chat,1,,,,,,,0.91,2131,,,,,,,excel,"{""intent"":""chat"",""slots"":{""bond_code"":null,""direction"":null,""price"":null,""amount"":null,""settle_date"":null,""order_status"":null,""cancel_scope"":null},""confidence"":0.91}",0,2930,145,3075
2026-03-01 00:00:00,chat,chat,1,,,,,,,0.6,2712,,,,,,,excel,"{""intent"":""chat"",""slots"":{""bond_code"":null,""direction"":null,""price"":null,""amount"":null,""settle_date"":null,""order_status"":null,""cancel_scope"":null},""confidence"":0.6}",0,2937,151,3088
报价,chat,chat,1,,,,,,,0.9,3406,,,,,,,excel,"{""intent"":""chat"",""slots"":{""bond_code"":null,""direction"":null,""price"":null,""amount"":null,""settle_date"":null,""order_status"":null,""cancel_scope"":null},""confidence"":0.90}",0,2926,314,3240
询价,chat,chat,1,,,,,,,0.93,2195,,,,,,,excel,"{""intent"":""chat"",""slots"":{""bond_code"":null,""direction"":null,""price"":null,""amount"":null,""settle_date"":null,""order_status"":null,""cancel_scope"":null},""confidence"":0.93}",0,2927,127,3054
你需要什么样格式的报价,chat,chat,1,,,,,,,0.94,4079,,,,,,,excel,"{""intent"":""chat"",""slots"":{""bond_code"":null,""direction"":null,""price"":null,""amount"":null,""settle_date"":null,""order_status"":null,""cancel_scope"":null},""confidence"":0.94}",0,2930,277,3207
你们那个券最活跃,chat,chat,1,,,,,,,0.88,3106,,,,,,,excel,"{""intent"":""chat"",""slots"":{""bond_code"":null,""direction"":null,""price"":null,""amount"":null,""settle_date"":null,""order_status"":null,""cancel_scope"":null},""confidence"":0.88}",0,2930,160,3090
你把你们有的债券报价整理一份发我,chat,chat,1,,,,,,,0.94,3047,,,,,,,excel,"{""intent"":""chat"",""slots"":{""bond_code"":null,""direction"":null,""price"":null,""amount"":null,""settle_date"":null,""order_status"":null,""cancel_scope"":null},""confidence"":0.94}",0,2934,162,3096
怎么没有价格,chat,chat,1,,,,,,,0.95,1660,,,,,,,excel,"{""intent"":""chat"",""slots"":{""bond_code"":null,""direction"":null,""price"":null,""amount"":null,""settle_date"":null,""order_status"":null,""cancel_scope"":null},""confidence"":0.95}",0,2928,104,3032
还没整理好吗,chat,chat,1,,,,,,,0.95,1935,,,,,,,excel,"{""intent"":""chat"",""slots"":{""bond_code"":null,""direction"":null,""price"":null,""amount"":null,""settle_date"":null,""order_status"":null,""cancel_scope"":null},""confidence"":0.95}",0,2928,111,3039
报价板官方网址,chat,chat,1,,,,,,,0.95,1694,,,,,,,excel,"{""intent"":""chat"",""slots"":{""bond_code"":null,""direction"":null,""price"":null,""amount"":null,""settle_date"":null,""order_status"":null,""cancel_scope"":null},""confidence"":0.95}",0,2929,112,3041
晴天，我出门打伞是为什么,chat,chat,1,,,,,,,0.99,1760,,,,,,,excel,"{""intent"":""chat"",""slots"":{""bond_code"":null,""direction"":null,""price"":null,""amount"":null,""settle_date"":null,""order_status"":null,""cancel_scope"":null},""confidence"":0.99}",0,2933,129,3062
有什么债券可以报价,chat,chat,1,,,,,,,0.95,2708,,,,,,,excel,"{""intent"":""chat"",""slots"":{""bond_code"":null,""direction"":null,""price"":null,""amount"":null,""settle_date"":null,""order_status"":null,""cancel_scope"":null},""confidence"":0.95}",0,2929,153,3082
210210 bid 看看行情,chat,chat,1,,,,,,,0.95,2519,,,,,,,excel,"{""intent"":""chat"",""slots"":{""bond_code"":null,""direction"":null,""price"":null,""amount"":null,""settle_date"":null,""order_status"":null,""cancel_scope"":null},""confidence"":0.95}",0,2931,126,3057
210210 bid 5k帮我成交,chat,bond_inquiry,0,,,,,,,0.95,2909,,210210,bid,,5k,,excel,"{""intent"":""bond_inquiry"",""slots"":{""bond_code"":""210210"",""direction"":""bid"",""price"":null,""amount"":""5k"",""settle_date"":null,""order_status"":null,""cancel_scope"":null},""confidence"":0.95}",0,2933,184,3117
帮我报个价,chat,chat,1,,,,,,,0.92,5128,,,,,,,excel,"{""intent"":""chat"",""slots"":{""bond_code"":null,""direction"":null,""price"":null,""amount"":null,""settle_date"":null,""order_status"":null,""cancel_scope"":null},""confidence"":0.92}",0,2929,293,3222
利率债怎么交易,chat,chat,1,,,,,,,0.97,1903,,,,,,,excel,"{""intent"":""chat"",""slots"":{""bond_code"":null,""direction"":null,""price"":null,""amount"":null,""settle_date"":null,""order_status"":null,""cancel_scope"":null},""confidence"":0.97}",0,2929,105,3034
uat 204的ws服务我这边可以关一下吗,chat,chat,1,,,,,,,0.95,5710,,,,,,,excel,"{""intent"":""chat"",""slots"":{""bond_code"":null,""direction"":null,""price"":null,""amount"":null,""settle_date"":null,""order_status"":null,""cancel_scope"":null},""confidence"":0.95}",0,2937,419,3356
国债怎么交易,chat,chat,1,,,,,,,0.97,1898,,,,,,,excel,"{""intent"":""chat"",""slots"":{""bond_code"":null,""direction"":null,""price"":null,""amount"":null,""settle_date"":null,""order_status"":null,""cancel_scope"":null},""confidence"":0.97}",0,2928,87,3015
Bid 220007.IB 2D  1.9003 4000万 今+1 aaa,bond_inquiry,bond_inquiry,1,,,,,,,0.97,6656,,220007.IB,bid,1.9003,4000万,今+1,excel,"{""intent"":""bond_inquiry"",""slots"":{""bond_code"":""220007.IB"",""direction"":""bid"",""price"":""1.9003"",""amount"":""4000万"",""settle_date"":""今+1"",""order_status"":null,""cancel_scope"":null},""confidence"":0.97}",0,2949,484,3433
203D Bid 220007.IB   1.9003 4000万 今+1 aaa,bond_inquiry,bond_inquiry,1,,,,,,,0.95,7141,,220007.IB,bid,1.9003,4000万,今+1,excel,"{""intent"":""bond_inquiry"",""slots"":{""bond_code"":""220007.IB"",""direction"":""bid"",""price"":""1.9003"",""amount"":""4000万"",""settle_date"":""今+1"",""order_status"":null,""cancel_scope"":null},""confidence"":0.95}",0,2948,604,3552
Bid 220007.IB  203D 1.9003 4000万 今+1 aaa,bond_inquiry,bond_inquiry,1,,,,,,,0.95,4744,,220007.IB,bid,1.9003,4000万,今+1,excel,"{""intent"":""bond_inquiry"",""slots"":{""bond_code"":""220007.IB"",""direction"":""bid"",""price"":""1.9003"",""amount"":""4000万"",""settle_date"":""今+1"",""order_status"":null,""cancel_scope"":null},""confidence"":0.95}",0,2949,278,3227
Bid 220007.IB  3M 1.9003 4000万 今+1 aaa,bond_inquiry,bond_inquiry,1,,,,,,,0.95,5103,,220007.IB,bid,1.9003,4000万,今+1,excel,"{""intent"":""bond_inquiry"",""slots"":{""bond_code"":""220007.IB"",""direction"":""bid"",""price"":""1.9003"",""amount"":""4000万"",""settle_date"":""今+1"",""order_status"":null,""cancel_scope"":null},""confidence"":0.95}",0,2949,492,3441
Bid 220007.IB  6.3Y 1.9003 4000万 今+1 aaa,bond_inquiry,bond_inquiry,1,,,,,,,0.95,2326,,220007.IB,bid,1.9003,4000万,今+1,excel,"{""intent"":""bond_inquiry"",""slots"":{""bond_code"":""220007.IB"",""direction"":""bid"",""price"":""1.9003"",""amount"":""4000万"",""settle_date"":""今+1"",""order_status"":null,""cancel_scope"":null},""confidence"":0.95}",0,2951,184,3135
Bid 220007.IB   1.9003    4000万   1.213Y 今+1 订单有效期3min,bond_inquiry,bond_inquiry,1,,,,,,,0.95,5249,,220007.IB,bid,1.9003,4000万,今+1,excel,"{""intent"":""bond_inquiry"",""slots"":{""bond_code"":""220007.IB"",""direction"":""bid"",""price"":""1.9003"",""amount"":""4000万"",""settle_date"":""今+1"",""order_status"":null,""cancel_scope"":null},""confidence"":0.95}",0,2954,240,3194
Bid 220007.IB   4000万   1.213年 今+1 订单有效期3min,bond_inquiry,bond_inquiry,1,,,,,,,0.95,4223,,220007.IB,bid,,4000万,今+1,excel,"{""intent"":""bond_inquiry"",""slots"":{""bond_code"":""220007.IB"",""direction"":""bid"",""price"":null,""amount"":""4000万"",""settle_date"":""今+1"",""order_status"":null,""cancel_scope"":null},""confidence"":0.95}",0,2949,120,3069
Bid 220007.IB   4000万   1.231Y  今+1 订单有效期3min,bond_inquiry,bond_inquiry,1,,,,,,,0.95,12959,,220007.IB,bid,,4000万,今+1,excel,"{""intent"":""bond_inquiry"",""slots"":{""bond_code"":""220007.IB"",""direction"":""bid"",""price"":null,""amount"":""4000万"",""settle_date"":""今+1"",""order_status"":null,""cancel_scope"":null},""confidence"":0.95}",0,2949,1231,4180
Bid 220007.IB   4000万   1.231y  今+1 订单有效期3min,bond_inquiry,bond_inquiry,1,,,,,,,0.95,12540,,220007.IB,bid,,4000万,今+1,excel,"{""intent"":""bond_inquiry"",""slots"":{""bond_code"":""220007.IB"",""direction"":""bid"",""amount"":""4000万"",""price"":null,""settle_date"":""今+1"",""order_status"":null,""cancel_scope"":null},""confidence"":0.95}",0,2949,1161,4110
爱的赛  Bid 220007.IB   4000万   1.231y  今+1 订单有效期3min,bond_inquiry,bond_inquiry,1,,,,,,,0.92,6971,,220007.IB,bid,1.231,4000万,今+1,excel,"{""intent"":""bond_inquiry"",""slots"":{""bond_code"":""220007.IB"",""direction"":""bid"",""price"":""1.231"",""amount"":""4000万"",""settle_date"":""今+1"",""order_status"":null,""cancel_scope"":null},""confidence"":0.92}",0,2952,567,3519
2.272%  ofr 2500006 1E 明天+0,bond_inquiry,bond_inquiry,1,,,,,,,0.98,7237,,2500006,ofr,2.272%,1E,明天+0,excel,"{""intent"":""bond_inquiry"",""slots"":{""bond_code"":""2500006"",""direction"":""ofr"",""price"":""2.272%"",""amount"":""1E"",""settle_date"":""明天+0"",""order_status"":null,""cancel_scope"":null},""confidence"":0.98}",0,2943,529,3472
2.272%  ofr 250006 1E 明天+0,bond_inquiry,bond_inquiry,1,,,,,,,0.97,7117,,250006,ofr,2.272%,1E,明天+0,excel,"{""intent"":""bond_inquiry"",""slots"":{""bond_code"":""250006"",""direction"":""ofr"",""price"":""2.272%"",""amount"":""1E"",""settle_date"":""明天+0"",""order_status"":null,""cancel_scope"":null},""confidence"":0.97}",0,2942,493,3435
ref,bond_inquiry,bond_inquiry,1,,,,all,all,1,0.98,2981,,,,,,,excel,"{""intent"":""bond_inquiry"",""slots"":{""bond_code"":null,""direction"":null,""price"":null,""amount"":null,""settle_date"":null,""order_status"":null,""cancel_scope"":""all""},""confidence"":0.98}",0,2926,113,3039
ref all,bond_inquiry,bond_inquiry,1,,,,all,all,1,0.98,2629,,,,,,,excel,"{""intent"":""bond_inquiry"",""slots"":{""bond_code"":null,""direction"":null,""price"":null,""amount"":null,""settle_date"":null,""order_status"":null,""cancel_scope"":""all""},""confidence"":0.98}",0,2927,180,3107
撤单,bond_inquiry,bond_inquiry,1,,,,all,all,1,0.98,2090,,,,,,,excel,"{""intent"":""bond_inquiry"",""slots"":{""bond_code"":null,""direction"":null,""price"":null,""amount"":null,""settle_date"":null,""order_status"":null,""cancel_scope"":""all""},""confidence"":0.98}",0,2927,121,3048
all ref,bond_inquiry,bond_inquiry,1,,,,all,all,1,0.98,2238,,,,,,,excel,"{""intent"":""bond_inquiry"",""slots"":{""bond_code"":null,""direction"":null,""price"":null,""amount"":null,""settle_date"":null,""order_status"":null,""cancel_scope"":""all""},""confidence"":0.98}",0,2927,94,3021
ref 债券,bond_inquiry,bond_inquiry,1,,,,specified,specified,1,0.95,2156,,,,,,,excel,"{""intent"":""bond_inquiry"",""slots"":{""bond_code"":null,""direction"":null,""price"":null,""amount"":null,""settle_date"":null,""order_status"":null,""cancel_scope"":""specified""},""confidence"":0.95}",0,2928,95,3023
ref 方向,bond_inquiry,bond_inquiry,1,,,,specified,specified,1,0.96,2220,,,,,,,excel,"{""intent"":""bond_inquiry"",""slots"":{""bond_code"":null,""direction"":null,""price"":null,""amount"":null,""settle_date"":null,""order_status"":null,""cancel_scope"":""specified""},""confidence"":0.96}",0,2928,110,3038
ref 价格,bond_inquiry,bond_inquiry,1,,,,specified,specified,1,0.95,1638,,,,,,,excel,"{""intent"":""bond_inquiry"",""slots"":{""bond_code"":null,""direction"":null,""price"":null,""amount"":null,""settle_date"":null,""order_status"":null,""cancel_scope"":""specified""},""confidence"":0.95}",0,2928,98,3026
ref 量,bond_inquiry,bond_inquiry,1,,,,specified,specified,1,0.95,1453,,,,,,,excel,"{""intent"":""bond_inquiry"",""slots"":{""bond_code"":null,""direction"":null,""price"":null,""amount"":null,""settle_date"":null,""order_status"":null,""cancel_scope"":""specified""},""confidence"":0.95}",0,2928,91,3019
ref 清算时间,bond_inquiry,bond_inquiry,1,,,,specified,specified,1,0.96,2000,,,,,,,excel,"{""intent"":""bond_inquiry"",""slots"":{""bond_code"":null,""direction"":null,""price"":null,""amount"":null,""settle_date"":null,""order_status"":null,""cancel_scope"":""specified""},""confidence"":0.96}",0,2929,97,3026
帮我撤单,bond_inquiry,bond_inquiry,1,,,,all,all,1,0.97,2393,,,,,,,excel,"{""intent"":""bond_inquiry"",""slots"":{""bond_code"":null,""direction"":null,""price"":null,""amount"":null,""settle_date"":null,""order_status"":null,""cancel_scope"":""all""},""confidence"":0.97}",0,2928,128,3056
ref 清算时间+量,bond_inquiry,bond_inquiry,1,,,,specified,specified,1,0.96,1723,,,,,,,excel,"{""intent"":""bond_inquiry"",""slots"":{""bond_code"":null,""direction"":null,""price"":null,""amount"":null,""settle_date"":null,""order_status"":null,""cancel_scope"":""specified""},""confidence"":0.96}",0,2931,102,3033
ref 清算时间+量+方向,bond_inquiry,bond_inquiry,1,,,,specified,specified,1,0.96,3418,,,,,,,excel,"{""intent"":""bond_inquiry"",""slots"":{""bond_code"":null,""direction"":null,""price"":null,""amount"":null,""settle_date"":null,""order_status"":null,""cancel_scope"":""specified""},""confidence"":0.96}",0,2933,219,3152
ref 清算时间+量+方向+价格,bond_inquiry,bond_inquiry,1,,,,specified,specified,1,0.97,2402,,,,,,,excel,"{""intent"":""bond_inquiry"",""slots"":{""bond_code"":null,""direction"":null,""price"":null,""amount"":null,""settle_date"":null,""order_status"":null,""cancel_scope"":""specified""},""confidence"":0.97}",0,2935,124,3059
订单,bond_query,bond_query,1,all,all,1,,,,0.88,3584,,,,,,,excel,"{""intent"":""bond_query"",""slots"":{""bond_code"":null,""direction"":null,""price"":null,""amount"":null,""settle_date"":null,""order_status"":""all"",""cancel_scope"":null},""confidence"":0.88}",0,2926,297,3223
我的订单,bond_query,bond_query,1,all,all,1,,,,0.98,2344,,,,,,,excel,"{""intent"":""bond_query"",""slots"":{""bond_code"":null,""direction"":null,""price"":null,""amount"":null,""settle_date"":null,""order_status"":""all"",""cancel_scope"":null},""confidence"":0.98}",0,2927,88,3015
订单怎么样,bond_query,bond_query,1,all,all,1,,,,0.9,2407,,,,,,,excel,"{""intent"":""bond_query"",""slots"":{""bond_code"":null,""direction"":null,""price"":null,""amount"":null,""settle_date"":null,""order_status"":""all"",""cancel_scope"":null},""confidence"":0.90}",0,2927,180,3107
我的报单,bond_query,bond_query,1,all,all,1,,,,0.95,2232,,,,,,,excel,"{""intent"":""bond_query"",""slots"":{""bond_code"":null,""direction"":null,""price"":null,""amount"":null,""settle_date"":null,""order_status"":""all"",""cancel_scope"":null},""confidence"":0.95}",0,2928,111,3039
我的报价,bond_query,bond_query,1,all,all,1,,,,0.93,1748,,,,,,,excel,"{""intent"":""bond_query"",""slots"":{""bond_code"":null,""direction"":null,""price"":null,""amount"":null,""settle_date"":null,""order_status"":""all"",""cancel_scope"":null},""confidence"":0.93}",0,2927,90,3017
我今天有什么单,bond_query,bond_query,1,all,all,1,,,,0.96,2940,,,,,,,excel,"{""intent"":""bond_query"",""slots"":{""bond_code"":null,""direction"":null,""price"":null,""amount"":null,""settle_date"":null,""order_status"":""all"",""cancel_scope"":null},""confidence"":0.96}",0,2928,106,3034
今日订单成交情况,bond_query,bond_query,1,completed,completed,1,,,,0.95,1389,,,,,,,excel,"{""intent"":""bond_query"",""slots"":{""bond_code"":null,""direction"":null,""price"":null,""amount"":null,""settle_date"":null,""order_status"":""completed"",""cancel_scope"":null},""confidence"":0.95}",0,2929,80,3009
看看今日的全部操作,bond_query,bond_query,1,all,all,1,,,,0.87,4493,,,,,,,excel,"{""intent"":""bond_query"",""slots"":{""bond_code"":null,""direction"":null,""price"":null,""amount"":null,""settle_date"":null,""order_status"":""all"",""cancel_scope"":null},""confidence"":0.87}",0,2929,150,3079
查询今日操作记录,bond_query,bond_query,1,all,all,1,,,,0.95,1831,,,,,,,excel,"{""intent"":""bond_query"",""slots"":{""bond_code"":null,""direction"":null,""price"":null,""amount"":null,""settle_date"":null,""order_status"":""all"",""cancel_scope"":null},""confidence"":0.95}",0,2929,90,3019
查询订单,bond_query,bond_query,1,all,all,1,,,,0.95,1581,,,,,,,excel,"{""intent"":""bond_query"",""slots"":{""bond_code"":null,""direction"":null,""price"":null,""amount"":null,""settle_date"":null,""order_status"":""all"",""cancel_scope"":null},""confidence"":0.95}",0,2927,83,3010
订单状态,bond_query,bond_query,1,all,all,1,,,,0.88,4465,,,,,,,excel,"{""intent"":""bond_query"",""slots"":{""bond_code"":null,""direction"":null,""price"":null,""amount"":null,""settle_date"":null,""order_status"":""all"",""cancel_scope"":null},""confidence"":0.88}",0,2927,212,3139
我的订单到哪一步了,bond_query,bond_query,1,all,all,1,,,,0.96,2685,,,,,,,excel,"{""intent"":""bond_query"",""slots"":{""bond_code"":null,""direction"":null,""price"":null,""amount"":null,""settle_date"":null,""order_status"":""all"",""cancel_scope"":null},""confidence"":0.96}",0,2931,117,3048
成了吗,bond_query,bond_query,1,all,all,1,,,,0.93,2779,,,,,,,excel,"{""intent"":""bond_query"",""slots"":{""bond_code"":null,""direction"":null,""price"":null,""amount"":null,""settle_date"":null,""order_status"":""all"",""cancel_scope"":null},""confidence"":0.93}",0,2927,100,3027
撤了吗,bond_query,bond_query,1,all,all,1,,,,0.93,5820,,,,,,,excel,"{""intent"":""bond_query"",""slots"":{""bond_code"":null,""direction"":null,""price"":null,""amount"":null,""settle_date"":null,""order_status"":""all"",""cancel_scope"":null},""confidence"":0.93}",0,2927,432,3359
成交情况,bond_query,bond_query,1,pending,completed,0,,,,0.9,3432,,,,,,,excel,"{""intent"":""bond_query"",""slots"":{""bond_code"":null,""direction"":null,""price"":null,""amount"":null,""settle_date"":null,""order_status"":""completed"",""cancel_scope"":null},""confidence"":0.90}",0,2927,286,3213
我之前的买入操作是否成功了,bond_query,bond_query,1,completed,all,0,,,,0.92,4037,,,,,,,excel,"{""intent"":""bond_query"",""slots"":{""bond_code"":null,""direction"":null,""price"":null,""amount"":null,""settle_date"":null,""order_status"":""all"",""cancel_scope"":null},""confidence"":0.92}",0,2931,188,3119
我之前的卖出操作是否成功了,bond_query,bond_query,1,completed,all,0,,,,0.93,2132,,,,,,,excel,"{""intent"":""bond_query"",""slots"":{""bond_code"":null,""direction"":null,""price"":null,""amount"":null,""settle_date"":null,""order_status"":""all"",""cancel_scope"":null},""confidence"":0.93}",0,2931,142,3073
我的单子还没成交吗,bond_query,bond_query,1,all,pending,0,,,,0.95,2186,,,,,,,excel,"{""intent"":""bond_query"",""slots"":{""bond_code"":null,""direction"":null,""price"":null,""amount"":null,""settle_date"":null,""order_status"":""pending"",""cancel_scope"":null},""confidence"":0.95}",0,2931,114,3045
